# Example IMU Data CSV
# Format: timestamp, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z
# Units: gyro in rad/s, acc in m/s²
# This is synthetic data for testing purposes
1234567890.000,0.010,-0.020,1.250,0.050,-0.030,9.810
1234567890.005,0.011,-0.019,1.251,0.051,-0.029,9.811
1234567890.010,0.012,-0.018,1.252,0.052,-0.028,9.812
1234567890.015,0.013,-0.017,1.253,0.053,-0.027,9.813
1234567890.020,0.014,-0.016,1.254,0.054,-0.026,9.814
1234567890.025,0.015,-0.015,1.255,0.055,-0.025,9.815
1234567890.030,0.016,-0.014,1.256,0.056,-0.024,9.816
1234567890.035,0.017,-0.013,1.257,0.057,-0.023,9.817
1234567890.040,0.018,-0.012,1.258,0.058,-0.022,9.818
1234567890.045,0.019,-0.011,1.259,0.059,-0.021,9.819
